  senzor               , V(R15:2)             
  8.090000000000e+003  ,1.701695035050e-001  
  8.100000000000e+003  ,1.701711327332e-001  
  8.110000000000e+003  ,1.701727426216e-001  
  8.120000000000e+003  ,1.701743719672e-001  
  8.130000000000e+003  ,1.701759819737e-001  
  8.140000000000e+003  ,1.701776115617e-001  
  8.150000000000e+003  ,1.701792218106e-001  
  8.160000000000e+003  ,1.701808515162e-001  
  8.170000000000e+003  ,1.701824618834e-001  
  8.180000000000e+003  ,1.701840918314e-001  
  8.190000000000e+003  ,1.701857024412e-001  
  8.200000000000e+003  ,1.701873325068e-001  
  8.210000000000e+003  ,1.701889432348e-001  
  8.220000000000e+003  ,1.701905735430e-001  
  8.230000000000e+003  ,1.701921845137e-001  
  8.240000000000e+003  ,1.701938149395e-001  
  8.250000000000e+003  ,1.701954260286e-001  
  8.260000000000e+003  ,1.701970566971e-001  
  8.270000000000e+003  ,1.701986680288e-001  
  8.280000000000e+003  ,1.702002988150e-001  
  8.290000000000e+003  ,1.702019102653e-001  
  8.300000000000e+003  ,1.702035412942e-001  
  8.310000000000e+003  ,1.702051529872e-001  
  8.320000000000e+003  ,1.702067841339e-001  
  8.330000000000e+003  ,1.702083959455e-001  
  8.340000000000e+003  ,1.702100273350e-001  
  8.350000000000e+003  ,1.702116393894e-001  
  8.360000000000e+003  ,1.702132708969e-001  
  8.370000000000e+003  ,1.702148830699e-001  
  8.380000000000e+003  ,1.702165148202e-001  
  8.390000000000e+003  ,1.702181272361e-001  
  8.400000000000e+003  ,1.702197591044e-001  
  8.410000000000e+003  ,1.702213716391e-001  
  8.420000000000e+003  ,1.702230037502e-001  
  8.430000000000e+003  ,1.702246165279e-001  
  8.440000000000e+003  ,1.702262487572e-001  
  8.450000000000e+003  ,1.702278616536e-001  
  8.460000000000e+003  ,1.702294941259e-001  
  8.470000000000e+003  ,1.702311072654e-001  
  8.480000000000e+003  ,1.702327398558e-001  
  8.490000000000e+003  ,1.702343531141e-001  
  8.500000000000e+003  ,1.702359859476e-001  
  8.510000000000e+003  ,1.702375994491e-001  
  8.520000000000e+003  ,1.702392324008e-001  
  8.530000000000e+003  ,1.702408460213e-001  
  8.540000000000e+003  ,1.702424792161e-001  
  8.550000000000e+003  ,1.702440930798e-001  
  8.560000000000e+003  ,1.702457263929e-001  
  8.570000000000e+003  ,1.702473403756e-001  
  8.580000000000e+003  ,1.702489739320e-001  
  8.590000000000e+003  ,1.702505881580e-001  
  8.600000000000e+003  ,1.702522218327e-001  
  8.610000000000e+003  ,1.702538361778e-001  
  8.620000000000e+003  ,1.702554700959e-001  
  8.630000000000e+003  ,1.702570846843e-001  
  8.640000000000e+003  ,1.702587187209e-001  
  8.650000000000e+003  ,1.702603334285e-001  
  8.660000000000e+003  ,1.702619677084e-001  
  8.670000000000e+003  ,1.702635826595e-001  
  8.680000000000e+003  ,1.702652170581e-001  
  8.690000000000e+003  ,1.702668321285e-001  
  8.700000000000e+003  ,1.702684667706e-001  
  8.710000000000e+003  ,1.702700820848e-001  
  8.720000000000e+003  ,1.702717168459e-001  
  8.730000000000e+003  ,1.702733322800e-001  
  8.740000000000e+003  ,1.702749672855e-001  
  8.750000000000e+003  ,1.702765829646e-001  
  8.760000000000e+003  ,1.702782180910e-001  
  8.770000000000e+003  ,1.702798338929e-001  
  8.780000000000e+003  ,1.702814692685e-001  
  8.790000000000e+003  ,1.702830853228e-001  
